year,start_station_id,total_bikes,started_at
2023,3776.05,203,203
2023,3779.02,63,63
2023,3782.03,115,115
2023,3791.02,292,292
2023,3803.05,494,494
2023,3803.09,790,790
2023,3811.05,201,201
2023,3814.01,129,129
2023,3822.08,171,171
2023,3831.03,439,439
2023,3834.10,741,741
2023,3839.02,364,364
2023,3842.08,458,458
2023,3845.05,53,53
2023,3847.04,262,262
2023,3850.03,152,152
2023,3853.02,100,100
2023,3856.03,78,78
2023,3862.07,328,328
2023,3865.05,886,886
2023,3871.02,252,252
2023,3874.01,341,341
2023,3877.04,3,3
2023,3879.04,525,525
2023,3882.01,186,186
2023,3882.05,508,508
2023,3885.06,47,47
2023,3887.03,316,316
2023,3893.03,359,359
2023,3902.06,1017,1017
2023,3905.15,896,896
2023,3911.05,402,402
2023,3914.02,553,553
2023,3917.03,72,72
2023,3919.07,1115,1115
2023,3919.12,119,119
2023,3922.02,237,237
2023,3925.03,68,68
2023,3928.08,703,703
2023,3931.09,130,130
2023,3934.06,131,131
2023,3934.07,146,146
2023,3940.04,212,212
2023,3943.03,308,308
2023,3946.07,444,444
2023,3950.03,91,91
2023,3952.07,240,240
2023,3958.02,21,21
2023,3960.01,530,530
2023,3966.01,173,173
2023,3966.03,105,105
2023,3972.08,135,135
2023,3975.02,160,160
2023,3978.13,605,605
2023,3981.10,162,162
2023,3982.01,31,31
2023,3984.02,267,267
2023,3987.06,869,869
2023,3991.04,48,48
2023,3993.03,503,503
2023,3996.01,363,363
2023,3999.06,67,67
2023,4001.09,779,779
2023,4007.01,147,147
2023,4010.01,1058,1058
2023,4010.13,915,915
2023,4010.15,599,599
2023,4014.01,26,26
2023,4016.03,155,155
2023,4019.06,669,669
2023,4023.01,26,26
2023,4023.05,25,25
2023,4025.02,359,359
2023,4028.03,332,332
2023,4028.04,436,436
2023,4031.05,54,54
2023,4033.16,571,571
2023,4039.04,73,73
2023,4042.08,608,608
2023,4048.03,63,63
2023,4051.01,1097,1097
2023,4054.02,8,8
2023,4054.06,51,51
2023,4055.04,28,28
2023,4057.04,325,325
2023,4060.09,694,694
2023,4064.03,56,56
2023,4066.15,460,460
2023,4072.02,80,80
2023,4074.14,705,705
2023,4077.04,606,606
2023,4077.07,580,580
2023,4080.01,113,113
2023,4086.05,115,115
2023,4086.06,169,169
2023,4087.01,60,60
2023,4089.01,275,275
2023,4095.03,326,326
2023,4095.10,382,382
2023,4096.08,30,30
2023,4098.06,423,423
2023,4101.17,555,555
2023,4105.01,68,68
2023,4107.05,467,467
2023,4107.13,858,858
2023,4110.10,356,356
2023,4113.01,34,34
2023,4116.08,477,477
2023,4116.09,218,218
2023,4119.04,434,434
2023,4120.02,84,84
2023,4122.03,71,71
2023,4124.04,3,3
2023,4125.07,1441,1441
2023,4128.08,146,146
2023,4129.10,37,37
2023,4131.03,210,210
2023,4134.06,491,491
2023,4137.10,269,269
2023,4137.14,152,152
2023,4138.04,92,92
2023,4140.03,543,543
2023,4143.04,332,332
2023,4146.02,64,64
2023,4148.07,390,390
2023,4151.01,450,450
2023,4154.02,64,64
2023,4157.10,1426,1426
2023,4157.15,69,69
2023,4161.01,108,108
2023,4166.08,489,489
2023,4169.04,276,276
2023,4170.08,90,90
2023,4172.04,196,196
2023,4175.14,530,530
2023,4175.15,668,668
2023,4179.03,69,69
2023,4181.10,250,250
2023,4184.07,312,312
2023,4187.04,47,47
2023,4190.06,687,687
2023,4193.14,557,557
2023,4196.01,94,94
2023,4196.05,339,339
2023,4199.12,798,798
2023,4199.13,419,419
2023,4202.04,199,199
2023,4205.06,203,203
2023,4208.01,532,532
2023,4212.01,87,87
2023,4214.03,582,582
2023,4214.04,156,156
2023,4217.02,475,475
2023,4217.06,362,362
2023,4220.02,110,110
2023,4222.02,347,347
2023,4225.14,889,889
2023,4228.02,332,332
2023,4228.06,149,149
2023,4231.04,490,490
2023,4237.01,154,154
2023,4237.02,212,212
2023,4243.01,272,272
2023,4244.06,101,101
2023,4246.02,352,352
2023,4249.10,406,406
2023,4253.02,120,120
2023,4255.05,385,385
2023,4258.07,250,250
2023,4261.03,115,115
2023,4263.12,461,461
2023,4266.03,893,893
2023,4278.03,404,404
2023,4281.08,1075,1075
2023,4285.09,208,208
2023,4290.06,300,300
2023,4293.05,64,64
2023,4298.05,444,444
2023,4301.04,108,108
2023,4301.07,123,123
2023,4307.13,349,349
2023,4310.06,318,318
2023,4317.05,152,152
2023,4319.07,611,611
2023,4322.06,588,588
2023,4325.03,73,73
2023,4327.09,256,256
2023,4330.09,111,111
2023,4334.02,155,155
2023,4336.01,237,237
2023,4339.01,599,599
2023,4342.04,205,205
2023,4345.11,887,887
2023,4348.07,618,618
2023,4354.05,696,696
2023,4354.07,1046,1046
2023,4357.01,101,101
2023,4362.04,556,556
2023,4366.01,248,248
